timestamp,vehicle_id,engine_rpm,coolant_temp_c,fault_code
2026-06-26 13:45:33.804267,VIN-211,1549,91,NONE
2026-06-26 13:45:34.804267,VIN-627,2770,102,NONE
2026-06-26 13:45:35.804267,VIN-205,2472,89,NONE
2026-06-26 13:45:36.804267,VIN-270,2965,95,NONE
2026-06-26 13:45:37.804267,VIN-198,2158,92,NONE
2026-06-26 13:45:38.804267,VIN-688,2976,87,NONE
2026-06-26 13:45:39.804267,VIN-515,1622,87,NONE
2026-06-26 13:45:40.804267,VIN-859,2710,94,P0420
2026-06-26 13:45:41.804267,VIN-760,2243,94,P0300
2026-06-26 13:45:42.804267,VIN-355,2376,97,P0171
2026-06-26 13:45:43.804267,VIN-513,2517,96,NONE
2026-06-26 13:45:44.804267,VIN-309,3297,92,NONE
2026-06-26 13:45:45.804267,VIN-640,1594,96,NONE
2026-06-26 13:45:46.804267,VIN-664,3085,104,P0300
2026-06-26 13:45:47.804267,VIN-54,2564,101,NONE
2026-06-26 13:45:48.804267,VIN-567,2449,94,P0171
2026-06-26 13:45:49.804267,VIN-472,2914,95,NONE
2026-06-26 13:45:50.804267,VIN-146,2899,94,P0171
2026-06-26 13:45:51.804267,VIN-485,1923,105,P0420
2026-06-26 13:45:52.804267,VIN-982,1610,105,NONE
2026-06-26 13:45:53.804267,VIN-674,1733,102,P0300
2026-06-26 13:45:54.804267,VIN-285,2477,93,P0300
2026-06-26 13:45:55.804267,VIN-186,2164,105,NONE
2026-06-26 13:45:56.804267,VIN-214,1791,89,NONE
2026-06-26 13:45:57.804267,VIN-299,2730,96,P0171
2026-06-26 13:45:58.804267,VIN-906,2639,101,P0300
2026-06-26 13:45:59.804267,VIN-741,1930,105,P0171
2026-06-26 13:46:00.804267,VIN-578,2782,97,NONE
2026-06-26 13:46:01.804267,VIN-425,2344,97,P0300
2026-06-26 13:46:02.804267,VIN-811,1840,86,NONE
2026-06-26 13:46:03.804267,VIN-364,3018,90,NONE
2026-06-26 13:46:04.804267,VIN-931,2002,97,NONE
2026-06-26 13:46:05.804267,VIN-548,2527,101,NONE
2026-06-26 13:46:06.804267,VIN-282,2568,104,P0420
2026-06-26 13:46:07.804267,VIN-911,2226,102,P0420
2026-06-26 13:46:08.804267,VIN-689,1936,101,P0171
2026-06-26 13:46:09.804267,VIN-849,2888,90,P0171
2026-06-26 13:46:10.804267,VIN-412,3091,91,NONE
2026-06-26 13:46:11.804267,VIN-361,2501,99,P0420
2026-06-26 13:46:12.804267,VIN-431,2857,99,NONE
2026-06-26 13:46:13.804267,VIN-374,2066,98,NONE
2026-06-26 13:46:14.804267,VIN-735,3283,99,P0171
