timestamp,vehicle_id,engine_rpm,coolant_temp_c,fault_code
2026-06-27 14:11:38.324926,VIN-630,2649,88,P0420
2026-06-27 14:11:39.324926,VIN-291,1504,96,NONE
2026-06-27 14:11:40.324926,VIN-209,3485,94,P0300
2026-06-27 14:11:41.324926,VIN-111,3148,93,P0171
2026-06-27 14:11:42.324926,VIN-679,3495,97,NONE
2026-06-27 14:11:43.324926,VIN-270,2609,97,P0171
2026-06-27 14:11:44.324926,VIN-927,1848,102,NONE
2026-06-27 14:11:45.324926,VIN-617,2785,88,NONE
2026-06-27 14:11:46.324926,VIN-289,1924,93,P0420
2026-06-27 14:11:47.324926,VIN-937,2246,104,P0171
2026-06-27 14:11:48.324926,VIN-146,1999,94,P0171
2026-06-27 14:11:49.324926,VIN-353,1974,101,P0420
2026-06-27 14:11:50.324926,VIN-206,1815,105,NONE
2026-06-27 14:11:51.324926,VIN-822,2004,96,P0171
2026-06-27 14:11:52.324926,VIN-685,2687,93,NONE
2026-06-27 14:11:53.324926,VIN-728,2423,101,NONE
2026-06-27 14:11:54.324926,VIN-122,3182,99,NONE
2026-06-27 14:11:55.324926,VIN-939,2557,88,NONE
2026-06-27 14:11:56.324926,VIN-952,2095,95,P0300
2026-06-27 14:11:57.324926,VIN-847,2084,97,P0300
2026-06-27 14:11:58.324926,VIN-713,3441,96,NONE
2026-06-27 14:11:59.324926,VIN-112,2784,104,P0300
2026-06-27 14:12:00.324926,VIN-206,2302,100,NONE
2026-06-27 14:12:01.324926,VIN-892,3070,90,P0171
2026-06-27 14:12:02.324926,VIN-668,1753,97,P0171
2026-06-27 14:12:03.324926,VIN-881,2835,99,P0420
2026-06-27 14:12:04.324926,VIN-459,1987,85,NONE
2026-06-27 14:12:05.324926,VIN-986,2927,100,P0420
2026-06-27 14:12:06.324926,VIN-970,3203,91,NONE
2026-06-27 14:12:07.324926,VIN-948,2492,101,P0300
2026-06-27 14:12:08.324926,VIN-826,2843,100,NONE
2026-06-27 14:12:09.324926,VIN-728,2136,91,P0420
2026-06-27 14:12:10.324926,VIN-963,2935,86,P0171
2026-06-27 14:12:11.324926,VIN-115,2901,87,P0300
2026-06-27 14:12:12.324926,VIN-840,2685,100,P0420
2026-06-27 14:12:13.324926,VIN-237,2640,97,P0300
2026-06-27 14:12:14.324926,VIN-566,2767,98,P0300
2026-06-27 14:12:15.324926,VIN-436,2785,90,NONE
2026-06-27 14:12:16.324926,VIN-729,2962,91,P0300
2026-06-27 14:12:17.324926,VIN-364,3424,103,P0171
2026-06-27 14:12:18.324926,VIN-395,2566,100,NONE
2026-06-27 14:12:19.324926,VIN-381,3064,95,P0171
2026-06-27 14:12:20.324926,VIN-751,3210,92,NONE
2026-06-27 14:12:21.324926,VIN-555,2950,97,P0300
2026-06-27 14:12:22.324926,VIN-521,3372,103,NONE
2026-06-27 14:12:23.324926,VIN-518,2010,90,P0171
2026-06-27 14:12:24.324926,VIN-297,1991,86,NONE
2026-06-27 14:12:25.324926,VIN-751,2261,85,NONE
2026-06-27 14:12:26.324926,VIN-495,3208,96,NONE
2026-06-27 14:12:27.324926,VIN-414,2203,88,P0300
2026-06-27 14:12:28.324926,VIN-747,2847,96,P0420
2026-06-27 14:12:29.324926,VIN-114,3111,95,NONE
2026-06-27 14:12:30.324926,VIN-927,3014,102,NONE
2026-06-27 14:12:31.324926,VIN-538,1820,88,P0420
2026-06-27 14:12:32.324926,VIN-939,2512,105,NONE
2026-06-27 14:12:33.324926,VIN-208,2538,94,NONE
2026-06-27 14:12:34.324926,VIN-516,1555,95,NONE
2026-06-27 14:12:35.324926,VIN-803,3197,88,P0420
2026-06-27 14:12:36.324926,VIN-364,1587,85,P0300
2026-06-27 14:12:37.324926,VIN-913,2900,102,NONE
2026-06-27 14:12:38.324926,VIN-209,3475,102,P0171
2026-06-27 14:12:39.324926,VIN-855,3378,104,P0420
2026-06-27 14:12:40.324926,VIN-811,2728,88,NONE
2026-06-27 14:12:41.324926,VIN-597,2773,97,NONE
2026-06-27 14:12:42.324926,VIN-104,1665,87,NONE
2026-06-27 14:12:43.324926,VIN-421,3333,90,NONE
2026-06-27 14:12:44.324926,VIN-139,1770,87,NONE
2026-06-27 14:12:45.324926,VIN-639,2766,87,P0171
2026-06-27 14:12:46.324926,VIN-636,2428,93,NONE
2026-06-27 14:12:47.324926,VIN-674,3088,92,P0171
2026-06-27 14:12:48.324926,VIN-973,1748,91,NONE
2026-06-27 14:12:49.324926,VIN-800,2313,87,P0420
2026-06-27 14:12:50.324926,VIN-154,3299,96,P0420
2026-06-27 14:12:51.324926,VIN-530,1971,90,NONE
2026-06-27 14:12:52.324926,VIN-432,1640,99,P0300
2026-06-27 14:12:53.324926,VIN-438,3157,98,NONE
2026-06-27 14:12:54.324926,VIN-516,3392,101,NONE
2026-06-27 14:12:55.324926,VIN-245,3099,88,NONE
2026-06-27 14:12:56.324926,VIN-181,2190,104,NONE
2026-06-27 14:12:57.324926,VIN-890,1924,102,P0300
2026-06-27 14:12:58.324926,VIN-686,1898,100,P0420
2026-06-27 14:12:59.324926,VIN-420,1527,86,P0300
2026-06-27 14:13:00.324926,VIN-996,2289,89,NONE
2026-06-27 14:13:01.324926,VIN-615,1831,98,P0420
2026-06-27 14:13:02.324926,VIN-156,3244,103,P0171
2026-06-27 14:13:03.324926,VIN-729,1674,92,NONE
2026-06-27 14:13:04.324926,VIN-381,1780,96,P0171
2026-06-27 14:13:05.324926,VIN-968,1833,93,P0420
2026-06-27 14:13:06.324926,VIN-836,3118,97,P0300
2026-06-27 14:13:07.324926,VIN-794,2425,103,P0171
2026-06-27 14:13:08.324926,VIN-458,1815,101,P0171
2026-06-27 14:13:09.324926,VIN-993,2427,99,P0171
2026-06-27 14:13:10.324926,VIN-392,1658,99,P0300
2026-06-27 14:13:11.324926,VIN-676,2638,88,NONE
2026-06-27 14:13:12.324926,VIN-263,3198,85,P0171
2026-06-27 14:13:13.324926,VIN-675,2503,101,NONE
2026-06-27 14:13:14.324926,VIN-775,2563,92,NONE
2026-06-27 14:13:15.324926,VIN-314,1984,104,P0420
2026-06-27 14:13:16.324926,VIN-106,3096,95,P0420
2026-06-27 14:13:17.324926,VIN-987,2167,102,NONE
2026-06-27 14:13:18.324926,VIN-514,2564,101,NONE
2026-06-27 14:13:19.324926,VIN-560,3493,104,NONE
2026-06-27 14:13:20.324926,VIN-714,1651,98,P0300
2026-06-27 14:13:21.324926,VIN-283,2793,105,NONE
2026-06-27 14:13:22.324926,VIN-476,1714,98,NONE
2026-06-27 14:13:23.324926,VIN-115,3253,87,NONE
2026-06-27 14:13:24.324926,VIN-746,1628,100,P0300
2026-06-27 14:13:25.324926,VIN-393,1564,89,P0300
2026-06-27 14:13:26.324926,VIN-585,3118,91,P0420
2026-06-27 14:13:27.324926,VIN-612,1535,102,NONE
