timestamp,vehicle_id,engine_rpm,coolant_temp_c,fault_code
2026-06-26 12:13:20.970772,VIN-647178,1521,93,NONE
2026-06-26 12:13:21.970772,VIN-223136,2830,97,NONE
2026-06-26 12:13:22.970772,VIN-541206,3434,96,P0300
2026-06-26 12:13:23.970772,VIN-238997,2836,101,P0171
2026-06-26 12:13:24.970772,VIN-163035,3462,103,NONE
2026-06-26 12:13:25.970772,VIN-607409,2231,101,NONE
2026-06-26 12:13:26.970772,VIN-402731,1844,98,NONE
2026-06-26 12:13:27.970772,VIN-926755,0,94,P0171
2026-06-26 12:13:28.970772,VIN-898680,2699,103,P0171
2026-06-26 12:13:29.970772,VIN-311124,2782,95,P0420
2026-06-26 12:13:30.970772,VIN-984274,1967,97,P0300
2026-06-26 12:13:31.970772,VIN-845599,2434,98,NONE
2026-06-26 12:13:32.970772,VIN-404612,0,94,NONE
2026-06-26 12:13:33.970772,VIN-615772,1618,96,P0300
2026-06-26 12:13:34.970772,VIN-67820,2072,96,NONE
2026-06-26 12:13:35.970772,VIN-142101,2528,103,NONE
2026-06-26 12:13:36.970772,VIN-888281,2704,90,NONE
2026-06-26 12:13:37.970772,VIN-803026,1530,95,P0420
2026-06-26 12:13:38.970772,VIN-197423,1529,103,NONE
2026-06-26 12:13:39.970772,VIN-792344,1957,102,NONE
2026-06-26 12:13:40.970772,VIN-119279,3263,92,NONE
2026-06-26 12:13:41.970772,VIN-488865,2623,104,NONE
2026-06-26 12:13:42.970772,VIN-225933,3193,89,P0171
2026-06-26 12:13:43.970772,VIN-590691,0,93,P0300
2026-06-26 12:13:44.970772,VIN-926780,1860,101,P0420
2026-06-26 12:13:45.970772,VIN-330720,3149,99,P0300
2026-06-26 12:13:46.970772,VIN-247008,3396,99,P0420
2026-06-26 12:13:47.970772,VIN-47674,3085,100,NONE
2026-06-26 12:13:48.970772,VIN-802209,2673,95,NONE
2026-06-26 12:13:49.970772,VIN-788878,3395,85,NONE
2026-06-26 12:13:50.970772,VIN-846428,2333,91,NONE
2026-06-26 12:13:51.970772,VIN-976555,3248,96,NONE
2026-06-26 12:13:52.970772,VIN-958034,2205,92,P0171
2026-06-26 12:13:53.970772,VIN-620539,2037,90,NONE
2026-06-26 12:13:54.970772,VIN-573644,1819,85,P0300
2026-06-26 12:13:55.970772,VIN-362619,2937,91,P0171
2026-06-26 12:13:56.970772,VIN-516337,0,105,P0300
2026-06-26 12:13:57.970772,VIN-734375,3232,90,P0300
2026-06-26 12:13:58.970772,VIN-482942,3278,87,P0420
2026-06-26 12:13:59.970772,VIN-605650,1922,98,NONE
2026-06-26 12:14:00.970772,VIN-683850,2547,87,NONE
2026-06-26 12:14:01.970772,VIN-614077,3254,99,P0420
2026-06-26 12:14:02.970772,VIN-788351,0,101,NONE
2026-06-26 12:14:03.970772,VIN-418695,2412,91,NONE
2026-06-26 12:14:04.970772,VIN-637247,2227,97,NONE
2026-06-26 12:14:05.970772,VIN-614549,0,103,P0420
2026-06-26 12:14:06.970772,VIN-996790,3473,95,NONE
2026-06-26 12:14:07.970772,VIN-239674,2573,96,P0420
2026-06-26 12:14:08.970772,VIN-649523,1660,85,P0171
2026-06-26 12:14:09.970772,VIN-772572,1534,86,P0171
2026-06-26 12:14:10.970772,VIN-652839,2883,90,P0420
2026-06-26 12:14:11.970772,VIN-268433,3400,94,NONE
2026-06-26 12:14:12.970772,VIN-821554,3286,103,NONE
2026-06-26 12:14:13.970772,VIN-86701,2368,87,NONE
2026-06-26 12:14:14.970772,VIN-483755,3321,100,NONE
2026-06-26 12:14:15.970772,VIN-193008,2526,105,NONE
2026-06-26 12:14:16.970772,VIN-841582,1908,89,P0420
2026-06-26 12:14:17.970772,VIN-343668,1823,90,NONE
2026-06-26 12:14:18.970772,VIN-20588,2820,100,NONE
2026-06-26 12:14:19.970772,VIN-295146,2808,104,NONE
2026-06-26 12:14:20.970772,VIN-684657,1722,91,P0420
2026-06-26 12:14:21.970772,VIN-599488,1565,103,NONE
2026-06-26 12:14:22.970772,VIN-576572,2893,104,NONE
2026-06-26 12:14:23.970772,VIN-954438,1559,103,P0171
2026-06-26 12:14:24.970772,VIN-569591,2603,93,NONE
2026-06-26 12:14:25.970772,VIN-174867,3010,91,NONE
2026-06-26 12:14:26.970772,VIN-938211,1756,93,NONE
2026-06-26 12:14:27.970772,VIN-434220,1620,88,P0300
2026-06-26 12:14:28.970772,VIN-229668,3324,99,P0300
2026-06-26 12:14:29.970772,VIN-756618,1567,90,P0300
2026-06-26 12:14:30.970772,VIN-893451,0,98,NONE
2026-06-26 12:14:31.970772,VIN-338649,2168,101,NONE
2026-06-26 12:14:32.970772,VIN-419648,1959,102,NONE
2026-06-26 12:14:33.970772,VIN-174953,1975,103,NONE
2026-06-26 12:14:34.970772,VIN-466814,2450,98,NONE
2026-06-26 12:14:35.970772,VIN-847867,2342,85,P0300
2026-06-26 12:14:36.970772,VIN-563631,2583,96,NONE
2026-06-26 12:14:37.970772,VIN-534235,2506,98,NONE
2026-06-26 12:14:38.970772,VIN-183639,1891,87,NONE
2026-06-26 12:14:39.970772,VIN-442522,3219,92,P0171
2026-06-26 12:14:40.970772,VIN-16148,1820,101,NONE
2026-06-26 12:14:41.970772,VIN-319191,2675,92,P0420
2026-06-26 12:14:42.970772,VIN-467563,3081,101,NONE
2026-06-26 12:14:43.970772,VIN-389181,2378,100,NONE
2026-06-26 12:14:44.970772,VIN-786238,0,96,P0300
2026-06-26 12:14:45.970772,VIN-208028,2668,95,NONE
2026-06-26 12:14:46.970772,VIN-681546,2951,93,P0171
2026-06-26 12:14:47.970772,VIN-361162,2210,89,NONE
2026-06-26 12:14:48.970772,VIN-507364,2874,98,P0420
2026-06-26 12:14:49.970772,VIN-737461,2137,94,P0420
2026-06-26 12:14:50.970772,VIN-932978,1790,94,NONE
2026-06-26 12:14:51.970772,VIN-750246,0,86,NONE
2026-06-26 12:14:52.970772,VIN-647552,2763,94,P0420
2026-06-26 12:14:53.970772,VIN-596469,3453,96,P0300
2026-06-26 12:14:54.970772,VIN-214265,2820,103,P0300
2026-06-26 12:14:55.970772,VIN-569742,2772,104,P0300
2026-06-26 12:14:56.970772,VIN-238474,3262,94,NONE
2026-06-26 12:14:57.970772,VIN-955544,0,105,NONE
2026-06-26 12:14:58.970772,VIN-919713,3442,89,P0171
2026-06-26 12:14:59.970772,VIN-687432,3080,95,NONE
2026-06-26 12:15:00.970772,VIN-455753,1725,89,NONE
2026-06-26 12:15:01.970772,VIN-496264,2150,102,P0171
2026-06-26 12:15:02.970772,VIN-222363,2703,98,P0420
2026-06-26 12:15:03.970772,VIN-556650,1579,92,NONE
2026-06-26 12:15:04.970772,VIN-530363,2434,97,NONE
2026-06-26 12:15:05.970772,VIN-168168,3063,97,P0300
2026-06-26 12:15:06.970772,VIN-185087,2487,88,NONE
2026-06-26 12:15:07.970772,VIN-156962,3355,92,NONE
2026-06-26 12:15:08.970772,VIN-173607,3315,92,P0300
2026-06-26 12:15:09.970772,VIN-255849,2593,88,P0171
2026-06-26 12:15:10.970772,VIN-191618,2140,105,NONE
2026-06-26 12:15:11.970772,VIN-161730,1978,98,NONE
2026-06-26 12:15:12.970772,VIN-151500,2854,102,P0300
2026-06-26 12:15:13.970772,VIN-634216,2907,89,NONE
2026-06-26 12:15:14.970772,VIN-996602,2440,90,NONE
2026-06-26 12:15:15.970772,VIN-701758,1994,87,P0300
