timestamp,vehicle_id,engine_rpm,coolant_temp_c,fault_code,alert_status,processed_at
2026-06-26 12:13:22.970772,VIN-541206,3434,96,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 12:13:21.229066
2026-06-26 12:13:23.970772,VIN-238997,2836,101,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 12:13:21.229214
2026-06-26 12:13:27.970772,VIN-926755,0,94,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 12:13:21.229344
2026-06-26 12:13:28.970772,VIN-898680,2699,103,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 12:13:21.229454
2026-06-26 12:13:29.970772,VIN-311124,2782,95,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 12:13:21.229557
2026-06-26 12:13:30.970772,VIN-984274,1967,97,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 12:13:21.229657
2026-06-26 12:13:33.970772,VIN-615772,1618,96,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 12:13:21.229774
2026-06-26 12:13:37.970772,VIN-803026,1530,95,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 12:13:21.229884
2026-06-26 12:13:42.970772,VIN-225933,3193,89,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 12:13:21.229993
2026-06-26 12:13:43.970772,VIN-590691,0,93,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 12:13:21.230095
2026-06-26 12:13:44.970772,VIN-926780,1860,101,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 12:13:21.230196
2026-06-26 12:13:45.970772,VIN-330720,3149,99,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 12:13:21.230295
2026-06-26 12:13:46.970772,VIN-247008,3396,99,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 12:13:21.230394
2026-06-26 12:13:52.970772,VIN-958034,2205,92,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 12:13:21.230500
2026-06-26 12:13:54.970772,VIN-573644,1819,85,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 12:13:21.230600
2026-06-26 12:13:55.970772,VIN-362619,2937,91,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 12:13:21.230698
2026-06-26 12:13:56.970772,VIN-516337,0,105,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 12:13:21.230795
2026-06-26 12:13:57.970772,VIN-734375,3232,90,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 12:13:21.230893
2026-06-26 12:13:58.970772,VIN-482942,3278,87,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 12:13:21.230990
2026-06-26 12:14:01.970772,VIN-614077,3254,99,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 12:13:21.231091
2026-06-26 12:14:05.970772,VIN-614549,0,103,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 12:13:21.231193
2026-06-26 12:14:07.970772,VIN-239674,2573,96,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 12:13:21.231292
2026-06-26 12:14:08.970772,VIN-649523,1660,85,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 12:13:21.231389
2026-06-26 12:14:09.970772,VIN-772572,1534,86,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 12:13:21.231485
2026-06-26 12:14:10.970772,VIN-652839,2883,90,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 12:13:21.231582
2026-06-26 12:14:16.970772,VIN-841582,1908,89,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 12:13:21.231686
2026-06-26 12:14:20.970772,VIN-684657,1722,91,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 12:13:21.231786
2026-06-26 12:14:23.970772,VIN-954438,1559,103,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 12:13:21.231886
2026-06-26 12:14:27.970772,VIN-434220,1620,88,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 12:13:21.231987
2026-06-26 12:14:28.970772,VIN-229668,3324,99,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 12:13:21.232084
2026-06-26 12:14:29.970772,VIN-756618,1567,90,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 12:13:21.232180
2026-06-26 12:14:35.970772,VIN-847867,2342,85,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 12:13:21.232285
2026-06-26 12:14:39.970772,VIN-442522,3219,92,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 12:13:21.232386
2026-06-26 12:14:41.970772,VIN-319191,2675,92,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 12:13:21.232484
2026-06-26 12:14:44.970772,VIN-786238,0,96,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 12:13:21.232583
