timestamp,vehicle_id,engine_rpm,coolant_temp_c,fault_code
2026-06-26 19:13:57.708531,VIN-693687,1589,88,NONE
2026-06-26 19:13:58.708531,VIN-659654,1871,86,P0171
2026-06-26 19:13:59.708531,VIN-522902,2839,91,NONE
2026-06-26 19:14:00.708531,VIN-854383,2797,104,P0300
2026-06-26 19:14:01.708531,VIN-633107,2563,86,NONE
2026-06-26 19:14:02.708531,VIN-680211,2111,87,P0420
2026-06-26 19:14:03.708531,VIN-291012,0,102,P0171
2026-06-26 19:14:04.708531,VIN-947096,3417,95,P0300
2026-06-26 19:14:05.708531,VIN-957152,2182,100,NONE
2026-06-26 19:14:06.708531,VIN-950489,1593,96,P0300
2026-06-26 19:14:07.708531,VIN-183252,2099,97,P0300
2026-06-26 19:14:08.708531,VIN-435238,1805,95,NONE
2026-06-26 19:14:09.708531,VIN-625689,1875,85,NONE
2026-06-26 19:14:10.708531,VIN-732904,2662,92,NONE
2026-06-26 19:14:11.708531,VIN-307796,2879,89,P0300
2026-06-26 19:14:12.708531,VIN-816906,2143,93,NONE
2026-06-26 19:14:13.708531,VIN-129876,2377,99,NONE
2026-06-26 19:14:14.708531,VIN-910490,2229,97,P0300
2026-06-26 19:14:15.708531,VIN-518169,3385,90,P0420
2026-06-26 19:14:16.708531,VIN-408101,3074,105,P0420
2026-06-26 19:14:17.708531,VIN-887773,2195,103,P0300
2026-06-26 19:14:18.708531,VIN-552481,3212,91,NONE
2026-06-26 19:14:19.708531,VIN-737551,2227,91,NONE
2026-06-26 19:14:20.708531,VIN-349955,2808,91,NONE
2026-06-26 19:14:21.708531,VIN-626597,3443,95,NONE
2026-06-26 19:14:22.708531,VIN-220830,2144,88,NONE
2026-06-26 19:14:23.708531,VIN-184014,2705,89,P0420
2026-06-26 19:14:24.708531,VIN-532426,3434,86,P0171
2026-06-26 19:14:25.708531,VIN-544339,2419,93,P0420
2026-06-26 19:14:26.708531,VIN-720811,2588,87,NONE
2026-06-26 19:14:27.708531,VIN-670973,3080,96,P0171
2026-06-26 19:14:28.708531,VIN-135400,2181,105,NONE
2026-06-26 19:14:29.708531,VIN-351944,2692,85,NONE
2026-06-26 19:14:30.708531,VIN-629805,3069,96,P0420
2026-06-26 19:14:31.708531,VIN-352605,2109,88,NONE
2026-06-26 19:14:32.708531,VIN-424573,1989,94,NONE
2026-06-26 19:14:33.708531,VIN-847639,2534,85,P0420
2026-06-26 19:14:34.708531,VIN-940728,3497,95,P0171
2026-06-26 19:14:35.708531,VIN-357854,3331,95,NONE
2026-06-26 19:14:36.708531,VIN-713781,3014,101,P0171
2026-06-26 19:14:37.708531,VIN-814684,2549,97,NONE
2026-06-26 19:14:38.708531,VIN-173851,2550,101,NONE
2026-06-26 19:14:39.708531,VIN-77196,1867,97,NONE
2026-06-26 19:14:40.708531,VIN-239633,1815,92,NONE
2026-06-26 19:14:41.708531,VIN-184431,3146,96,P0300
2026-06-26 19:14:42.708531,VIN-122115,2156,105,NONE
2026-06-26 19:14:43.708531,VIN-459015,2793,101,NONE
2026-06-26 19:14:44.708531,VIN-530812,3390,85,P0420
2026-06-26 19:14:45.708531,VIN-772802,2270,89,NONE
2026-06-26 19:14:46.708531,VIN-333941,3306,105,NONE
2026-06-26 19:14:47.708531,VIN-574136,2247,93,P0300
2026-06-26 19:14:48.708531,VIN-100576,3295,102,NONE
2026-06-26 19:14:49.708531,VIN-948594,3127,90,P0420
2026-06-26 19:14:50.708531,VIN-884412,1923,105,NONE
2026-06-26 19:14:51.708531,VIN-571013,2363,99,NONE
2026-06-26 19:14:52.708531,VIN-186940,3478,95,P0420
2026-06-26 19:14:53.708531,VIN-327224,3264,87,NONE
2026-06-26 19:14:54.708531,VIN-908604,3059,90,P0171
2026-06-26 19:14:55.708531,VIN-175111,3409,89,NONE
2026-06-26 19:14:56.708531,VIN-489032,0,93,P0300
2026-06-26 19:14:57.708531,VIN-879426,2212,102,NONE
2026-06-26 19:14:58.708531,VIN-496685,2800,88,P0420
2026-06-26 19:14:59.708531,VIN-671371,1874,105,NONE
2026-06-26 19:15:00.708531,VIN-857451,1592,86,NONE
2026-06-26 19:15:01.708531,VIN-661671,0,104,NONE
2026-06-26 19:15:02.708531,VIN-999845,3306,94,P0300
2026-06-26 19:15:03.708531,VIN-762680,2650,87,P0171
2026-06-26 19:15:04.708531,VIN-184537,2489,89,P0171
2026-06-26 19:15:05.708531,VIN-798441,2967,98,P0171
2026-06-26 19:15:06.708531,VIN-226739,2091,97,NONE
2026-06-26 19:15:07.708531,VIN-474194,0,98,P0171
2026-06-26 19:15:08.708531,VIN-941685,2517,98,NONE
2026-06-26 19:15:09.708531,VIN-893252,2461,95,NONE
2026-06-26 19:15:10.708531,VIN-607688,2690,102,NONE
2026-06-26 19:15:11.708531,VIN-63873,3406,101,NONE
2026-06-26 19:15:12.708531,VIN-569073,3090,102,P0420
2026-06-26 19:15:13.708531,VIN-147297,1667,97,NONE
2026-06-26 19:15:14.708531,VIN-443686,2027,88,P0420
2026-06-26 19:15:15.708531,VIN-270430,1960,93,NONE
2026-06-26 19:15:16.708531,VIN-574544,0,92,NONE
2026-06-26 19:15:17.708531,VIN-149895,1622,104,NONE
2026-06-26 19:15:18.708531,VIN-225679,2997,86,NONE
2026-06-26 19:15:19.708531,VIN-599636,2149,95,NONE
