timestamp,vehicle_id,engine_rpm,coolant_temp_c,fault_code,alert_status,processed_at
2026-06-26 19:13:58.708531,VIN-659654,1871,86,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:57.964545
2026-06-26 19:14:00.708531,VIN-854383,2797,104,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:57.968116
2026-06-26 19:14:02.708531,VIN-680211,2111,87,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:57.970742
2026-06-26 19:14:03.708531,VIN-291012,0,102,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:57.972943
2026-06-26 19:14:04.708531,VIN-947096,3417,95,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:57.975662
2026-06-26 19:14:06.708531,VIN-950489,1593,96,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:57.978908
2026-06-26 19:14:07.708531,VIN-183252,2099,97,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:57.982668
2026-06-26 19:14:11.708531,VIN-307796,2879,89,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:57.987401
2026-06-26 19:14:14.708531,VIN-910490,2229,97,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:57.992662
2026-06-26 19:14:15.708531,VIN-518169,3385,90,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:57.997607
2026-06-26 19:14:16.708531,VIN-408101,3074,105,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.001937
2026-06-26 19:14:17.708531,VIN-887773,2195,103,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.005303
2026-06-26 19:14:23.708531,VIN-184014,2705,89,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.010549
2026-06-26 19:14:24.708531,VIN-532426,3434,86,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.015265
2026-06-26 19:14:25.708531,VIN-544339,2419,93,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.020123
2026-06-26 19:14:27.708531,VIN-670973,3080,96,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.023416
2026-06-26 19:14:30.708531,VIN-629805,3069,96,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.026937
2026-06-26 19:14:33.708531,VIN-847639,2534,85,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.030136
2026-06-26 19:14:34.708531,VIN-940728,3497,95,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.033334
2026-06-26 19:14:36.708531,VIN-713781,3014,101,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.036038
2026-06-26 19:14:41.708531,VIN-184431,3146,96,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.038768
2026-06-26 19:14:44.708531,VIN-530812,3390,85,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.041907
2026-06-26 19:14:47.708531,VIN-574136,2247,93,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.044782
2026-06-26 19:14:49.708531,VIN-948594,3127,90,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.047994
2026-06-26 19:14:52.708531,VIN-186940,3478,95,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.051010
2026-06-26 19:14:54.708531,VIN-908604,3059,90,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.054393
2026-06-26 19:14:56.708531,VIN-489032,0,93,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.057347
2026-06-26 19:14:58.708531,VIN-496685,2800,88,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.060695
2026-06-26 19:15:02.708531,VIN-999845,3306,94,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.069170
2026-06-26 19:15:03.708531,VIN-762680,2650,87,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.072548
2026-06-26 19:15:04.708531,VIN-184537,2489,89,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.075612
2026-06-26 19:15:05.708531,VIN-798441,2967,98,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.079015
2026-06-26 19:15:07.708531,VIN-474194,0,98,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.081742
2026-06-26 19:15:12.708531,VIN-569073,3090,102,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.084616
2026-06-26 19:15:14.708531,VIN-443686,2027,88,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.087870
2026-06-26 19:15:23.708531,VIN-124044,3115,91,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.091126
2026-06-26 19:15:26.708531,VIN-372958,2452,86,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.095194
2026-06-26 19:15:27.708531,VIN-134692,2501,100,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.098016
2026-06-26 19:15:28.708531,VIN-608631,2010,92,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.100907
2026-06-26 19:15:29.708531,VIN-838948,2827,94,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.104198
2026-06-26 19:15:32.708531,VIN-148936,3007,99,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.107534
2026-06-26 19:15:34.708531,VIN-618935,2747,91,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.110843
2026-06-26 19:15:35.708531,VIN-999546,1682,96,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.114030
2026-06-26 19:15:38.708531,VIN-500267,1645,104,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.117011
2026-06-26 19:15:39.708531,VIN-845693,1532,87,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.120069
2026-06-26 19:15:40.708531,VIN-598637,1610,86,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.122826
2026-06-26 19:15:42.708531,VIN-607642,1565,94,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.125602
2026-06-26 19:15:45.708531,VIN-442622,2973,87,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.128506
2026-06-26 19:15:47.708531,VIN-512055,3354,95,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.132033
2026-06-26 19:15:48.708531,VIN-716678,2677,89,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.135098
2026-06-26 19:15:53.708531,VIN-628699,1500,101,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.138500
2026-06-26 19:15:58.708531,VIN-69437,3251,99,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.141607
2026-06-26 19:15:59.708531,VIN-36720,2856,96,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.144346
2026-06-26 19:16:02.708531,VIN-512925,2627,97,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.147490
2026-06-26 19:16:04.708531,VIN-934003,3195,87,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.150343
2026-06-26 19:16:06.708531,VIN-516974,1876,95,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.153163
2026-06-26 19:16:07.708531,VIN-936889,1845,100,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.156221
2026-06-26 19:16:10.708531,VIN-706657,1532,91,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.159459
2026-06-26 19:16:12.708531,VIN-192996,3337,99,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.162109
2026-06-26 19:16:13.708531,VIN-812535,3341,99,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.164845
2026-06-26 19:16:15.708531,VIN-294386,1643,98,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.168074
2026-06-26 19:16:17.708531,VIN-481480,2492,90,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.171566
2026-06-26 19:16:19.708531,VIN-696307,2568,94,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.175387
2026-06-26 19:16:24.708531,VIN-832896,2992,94,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.179711
2026-06-26 19:16:25.708531,VIN-301706,2648,104,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.183367
2026-06-26 19:16:26.708531,VIN-211241,2295,91,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.187274
2026-06-26 19:16:27.708531,VIN-566433,2775,95,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.191496
2026-06-26 19:16:29.708531,VIN-444407,3223,100,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.195075
2026-06-26 19:16:30.708531,VIN-795011,3168,96,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.198490
2026-06-26 19:16:32.708531,VIN-65846,2028,104,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.201907
2026-06-26 19:16:36.708531,VIN-893815,3283,105,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.206032
2026-06-26 19:16:37.708531,VIN-147225,2199,88,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.210414
2026-06-26 19:16:40.708531,VIN-640303,0,86,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.214581
2026-06-26 19:16:46.708531,VIN-402660,3291,97,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.218370
2026-06-26 19:16:48.708531,VIN-327292,3260,90,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.221925
2026-06-26 19:16:49.708531,VIN-485084,1631,93,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.225973
2026-06-26 19:16:50.708531,VIN-339861,2512,86,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.229710
2026-06-26 19:16:51.708531,VIN-115071,0,102,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.233953
2026-06-26 19:16:52.708531,VIN-866611,2739,91,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.237690
2026-06-26 19:16:53.708531,VIN-485441,2299,92,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.241983
2026-06-26 19:16:54.708531,VIN-700765,1806,103,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.246708
2026-06-26 19:16:56.708531,VIN-325202,2040,98,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-26 19:13:58.250547
