timestamp,vehicle_id,engine_rpm,coolant_temp_c,fault_code
2026-06-21 11:17:47.273197,VIN-134857,2433,90,P0420
2026-06-21 11:17:48.273197,VIN-216082,2824,92,NONE
2026-06-21 11:17:49.273197,VIN-40434,0,92,NONE
2026-06-21 11:17:50.273197,VIN-609754,0,97,P0420
2026-06-21 11:17:51.273197,VIN-834103,2231,101,P0300
2026-06-21 11:17:52.273197,VIN-771122,3147,85,NONE
2026-06-21 11:17:53.273197,VIN-83430,2278,87,NONE
2026-06-21 11:17:54.273197,VIN-805496,1524,97,NONE
2026-06-21 11:17:55.273197,VIN-845809,1693,89,NONE
2026-06-21 11:17:56.273197,VIN-279990,2104,99,NONE
2026-06-21 11:17:57.273197,VIN-791995,2241,101,NONE
2026-06-21 11:17:58.273197,VIN-17422,2456,89,NONE
2026-06-21 11:17:59.273197,VIN-441017,1725,85,P0171
2026-06-21 11:18:00.273197,VIN-573952,2213,90,NONE
2026-06-21 11:18:01.273197,VIN-273335,1545,95,P0300
2026-06-21 11:18:02.273197,VIN-335682,3350,99,NONE
2026-06-21 11:18:03.273197,VIN-923400,3358,90,P0171
2026-06-21 11:18:04.273197,VIN-85135,3089,85,NONE
2026-06-21 11:18:05.273197,VIN-165710,1806,101,P0420
2026-06-21 11:18:06.273197,VIN-881901,2426,89,NONE
2026-06-21 11:18:07.273197,VIN-135920,2476,85,NONE
2026-06-21 11:18:08.273197,VIN-846763,1791,98,P0171
2026-06-21 11:18:09.273197,VIN-115407,2334,86,P0300
2026-06-21 11:18:10.273197,VIN-536685,3305,102,NONE
2026-06-21 11:18:11.273197,VIN-523310,2607,102,NONE
2026-06-21 11:18:12.273197,VIN-657853,1976,105,NONE
2026-06-21 11:18:13.273197,VIN-88463,3496,101,P0420
2026-06-21 11:18:14.273197,VIN-640051,3269,93,P0420
2026-06-21 11:18:15.273197,VIN-29536,2693,97,NONE
2026-06-21 11:18:16.273197,VIN-712946,2569,88,NONE
2026-06-21 11:18:17.273197,VIN-740479,3326,102,NONE
2026-06-21 11:18:18.273197,VIN-2862,2179,85,P0420
2026-06-21 11:18:19.273197,VIN-705610,0,86,NONE
2026-06-21 11:18:20.273197,VIN-57230,0,87,NONE
2026-06-21 11:18:21.273197,VIN-930929,2326,98,NONE
2026-06-21 11:18:22.273197,VIN-809656,2405,96,NONE
2026-06-21 11:18:23.273197,VIN-480314,2736,87,P0171
2026-06-21 11:18:24.273197,VIN-821975,3387,90,NONE
2026-06-21 11:18:25.273197,VIN-497058,2918,94,P0420
2026-06-21 11:18:26.273197,VIN-642928,3343,104,NONE
2026-06-21 11:18:27.273197,VIN-67845,2179,92,NONE
2026-06-21 11:18:28.273197,VIN-801561,2244,88,P0171
2026-06-21 11:18:29.273197,VIN-851505,2067,94,P0300
2026-06-21 11:18:30.273197,VIN-401267,3264,90,NONE
2026-06-21 11:18:31.273197,VIN-881974,2497,95,NONE
2026-06-21 11:18:32.273197,VIN-137743,2267,91,P0171
2026-06-21 11:18:33.273197,VIN-510830,1694,93,NONE
2026-06-21 11:18:34.273197,VIN-301729,2739,96,NONE
2026-06-21 11:18:35.273197,VIN-75420,2510,104,NONE
2026-06-21 11:18:36.273197,VIN-653526,3123,99,P0171
2026-06-21 11:18:37.273197,VIN-430289,3199,86,NONE
2026-06-21 11:18:38.273197,VIN-733163,2713,100,NONE
2026-06-21 11:18:39.273197,VIN-432595,2296,99,NONE
2026-06-21 11:18:40.273197,VIN-567806,1757,98,P0420
2026-06-21 11:18:41.273197,VIN-87500,3167,89,NONE
2026-06-21 11:18:42.273197,VIN-873020,1814,101,NONE
2026-06-21 11:18:43.273197,VIN-453668,2297,100,NONE
2026-06-21 11:18:44.273197,VIN-152778,2407,99,P0300
2026-06-21 11:18:45.273197,VIN-279580,2576,103,NONE
2026-06-21 11:18:46.273197,VIN-419936,2710,102,P0300
2026-06-21 11:18:47.273197,VIN-962957,2708,90,NONE
2026-06-21 11:18:48.273197,VIN-223957,1869,96,P0420
