timestamp,vehicle_id,engine_rpm,coolant_temp_c,fault_code,alert_status,processed_at
2026-06-21 11:17:47.273197,VIN-134857,2433,90,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-21 11:17:47.391957
2026-06-21 11:17:50.273197,VIN-609754,0,97,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-21 11:17:47.392090
2026-06-21 11:17:51.273197,VIN-834103,2231,101,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-21 11:17:47.392199
2026-06-21 11:17:59.273197,VIN-441017,1725,85,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-21 11:17:47.392311
2026-06-21 11:18:01.273197,VIN-273335,1545,95,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-21 11:17:47.392409
2026-06-21 11:18:03.273197,VIN-923400,3358,90,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-21 11:17:47.392506
2026-06-21 11:18:05.273197,VIN-165710,1806,101,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-21 11:17:47.392598
2026-06-21 11:18:08.273197,VIN-846763,1791,98,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-21 11:17:47.392690
2026-06-21 11:18:09.273197,VIN-115407,2334,86,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-21 11:17:47.392788
2026-06-21 11:18:13.273197,VIN-88463,3496,101,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-21 11:17:47.392892
2026-06-21 11:18:14.273197,VIN-640051,3269,93,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-21 11:17:47.392989
2026-06-21 11:18:18.273197,VIN-2862,2179,85,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-21 11:17:47.393094
2026-06-21 11:18:23.273197,VIN-480314,2736,87,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-21 11:17:47.393198
2026-06-21 11:18:25.273197,VIN-497058,2918,94,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-21 11:17:47.393296
2026-06-21 11:18:28.273197,VIN-801561,2244,88,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-21 11:17:47.393395
2026-06-21 11:18:29.273197,VIN-851505,2067,94,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-21 11:17:47.393491
2026-06-21 11:18:32.273197,VIN-137743,2267,91,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-21 11:17:47.393590
2026-06-21 11:18:36.273197,VIN-653526,3123,99,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-21 11:17:47.393689
2026-06-21 11:18:40.273197,VIN-567806,1757,98,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-21 11:17:47.393787
2026-06-21 11:18:44.273197,VIN-152778,2407,99,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-21 11:17:47.393886
2026-06-21 11:18:46.273197,VIN-419936,2710,102,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-21 11:17:47.393983
2026-06-21 11:18:48.273197,VIN-223957,1869,96,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-21 11:17:47.394079
2026-06-21 11:18:49.273197,VIN-912893,2088,88,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-21 11:17:47.394173
2026-06-21 11:18:52.273197,VIN-42439,3266,90,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-21 11:17:47.394270
2026-06-21 11:18:53.273197,VIN-998549,0,100,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-21 11:17:47.394378
2026-06-21 11:18:54.273197,VIN-270366,3223,104,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-21 11:17:47.394471
2026-06-21 11:18:55.273197,VIN-36377,1549,99,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-21 11:17:47.394561
2026-06-21 11:18:59.273197,VIN-310263,2982,105,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-21 11:17:47.394654
2026-06-21 11:19:00.273197,VIN-255533,2454,94,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-06-21 11:17:47.394743
2026-06-21 11:19:04.273197,VIN-937577,3002,101,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-06-21 11:17:47.394836
2026-06-21 11:19:05.273197,VIN-939830,2930,98,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-06-21 11:17:47.394938
