timestamp,vehicle_id,engine_rpm,coolant_temp_c,fault_code
2026-07-31 02:38:25.238981,VIN-851200,2290,105,NONE
2026-07-31 02:38:26.238981,VIN-153153,2147,87,NONE
2026-07-31 02:38:27.238981,VIN-531306,2415,87,P0420
2026-07-31 02:38:28.238981,VIN-629757,0,103,NONE
2026-07-31 02:38:29.238981,VIN-370448,2056,99,P0420
2026-07-31 02:38:30.238981,VIN-253930,2435,96,P0300
2026-07-31 02:38:31.238981,VIN-010221,2645,87,P0300
2026-07-31 02:38:32.238981,VIN-464059,2983,85,P0420
2026-07-31 02:38:33.238981,VIN-798324,3055,100,NONE
2026-07-31 02:38:34.238981,VIN-678915,3157,87,P0420
2026-07-31 02:38:35.238981,VIN-109550,2219,103,P0300
2026-07-31 02:38:36.238981,VIN-552008,0,105,P0171
2026-07-31 02:38:37.238981,VIN-359691,1965,102,NONE
2026-07-31 02:38:38.238981,VIN-167218,2072,105,P0300
2026-07-31 02:38:39.238981,VIN-271076,2546,91,P0300
2026-07-31 02:38:40.238981,VIN-975031,2778,101,P0420
2026-07-31 02:38:41.238981,VIN-499178,3352,96,P0420
2026-07-31 02:38:42.238981,VIN-710114,2412,94,P0171
2026-07-31 02:38:43.238981,VIN-731344,2111,87,P0300
2026-07-31 02:38:44.238981,VIN-410360,2593,90,NONE
2026-07-31 02:38:45.238981,VIN-033725,3217,93,NONE
2026-07-31 02:38:46.238981,VIN-323315,2946,98,P0420
2026-07-31 02:38:47.238981,VIN-147904,3205,87,NONE
2026-07-31 02:38:48.238981,VIN-380594,2151,105,P0171
2026-07-31 02:38:49.238981,VIN-725539,2679,102,NONE
2026-07-31 02:38:50.238981,VIN-400528,2972,100,NONE
2026-07-31 02:38:51.238981,VIN-076126,2715,90,P0420
2026-07-31 02:38:52.238981,VIN-383458,3035,102,NONE
2026-07-31 02:38:53.238981,VIN-376374,3079,92,P0420
2026-07-31 02:38:54.238981,VIN-362732,1904,89,P0300
2026-07-31 02:38:55.238981,VIN-179618,1852,101,P0300
2026-07-31 02:38:56.238981,VIN-784325,0,87,NONE
2026-07-31 02:38:57.238981,VIN-836098,3001,102,NONE
2026-07-31 02:38:58.238981,VIN-161264,2816,102,P0300
2026-07-31 02:38:59.238981,VIN-534741,2408,92,NONE
2026-07-31 02:39:00.238981,VIN-439578,2891,98,NONE
2026-07-31 02:39:01.238981,VIN-352443,2355,96,NONE
2026-07-31 02:39:02.238981,VIN-632452,1829,89,P0420
2026-07-31 02:39:03.238981,VIN-041876,1950,102,P0300
2026-07-31 02:39:04.238981,VIN-078199,1803,97,P0300
2026-07-31 02:39:05.238981,VIN-055806,2778,93,NONE
2026-07-31 02:39:06.238981,VIN-335611,2961,98,P0300
2026-07-31 02:39:07.238981,VIN-547529,3488,87,NONE
2026-07-31 02:39:08.238981,VIN-084441,2518,87,NONE
2026-07-31 02:39:09.238981,VIN-189267,2678,100,NONE
2026-07-31 02:39:10.238981,VIN-405260,3255,85,NONE
2026-07-31 02:39:11.238981,VIN-874111,1697,85,P0420
2026-07-31 02:39:12.238981,VIN-476436,2662,104,P0420
2026-07-31 02:39:13.238981,VIN-281575,2744,100,P0171
2026-07-31 02:39:14.238981,VIN-528538,2078,93,NONE
2026-07-31 02:39:15.238981,VIN-037536,2476,88,NONE
2026-07-31 02:39:16.238981,VIN-799304,2935,103,NONE
2026-07-31 02:39:17.238981,VIN-413235,3427,89,NONE
2026-07-31 02:39:18.238981,VIN-908909,0,91,P0300
2026-07-31 02:39:19.238981,VIN-822136,3342,91,P0171
2026-07-31 02:39:20.238981,VIN-932508,2768,86,NONE
2026-07-31 02:39:21.238981,VIN-012391,3336,105,NONE
2026-07-31 02:39:22.238981,VIN-455316,2680,97,NONE
2026-07-31 02:39:23.238981,VIN-301323,2243,91,NONE
2026-07-31 02:39:24.238981,VIN-655238,3392,94,NONE
2026-07-31 02:39:25.238981,VIN-900036,1832,89,P0300
