timestamp,vehicle_id,engine_rpm,coolant_temp_c,fault_code,alert_status,processed_at
2026-07-31 02:38:27.238981,VIN-531306,2415,87,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 02:38:25.574534
2026-07-31 02:38:29.238981,VIN-370448,2056,99,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 02:38:25.578126
2026-07-31 02:38:30.238981,VIN-253930,2435,96,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 02:38:25.581960
2026-07-31 02:38:31.238981,VIN-010221,2645,87,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 02:38:25.586462
2026-07-31 02:38:32.238981,VIN-464059,2983,85,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 02:38:25.589733
2026-07-31 02:38:34.238981,VIN-678915,3157,87,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 02:38:25.594997
2026-07-31 02:38:35.238981,VIN-109550,2219,103,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 02:38:25.598407
2026-07-31 02:38:36.238981,VIN-552008,0,105,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 02:38:25.603505
2026-07-31 02:38:38.238981,VIN-167218,2072,105,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 02:38:25.607789
2026-07-31 02:38:39.238981,VIN-271076,2546,91,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 02:38:25.610937
2026-07-31 02:38:40.238981,VIN-975031,2778,101,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 02:38:25.615392
2026-07-31 02:38:41.238981,VIN-499178,3352,96,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 02:38:25.620085
2026-07-31 02:38:42.238981,VIN-710114,2412,94,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 02:38:25.622762
2026-07-31 02:38:43.238981,VIN-731344,2111,87,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 02:38:25.625459
2026-07-31 02:38:46.238981,VIN-323315,2946,98,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 02:38:25.628225
2026-07-31 02:38:48.238981,VIN-380594,2151,105,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 02:38:25.630686
2026-07-31 02:38:51.238981,VIN-076126,2715,90,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 02:38:25.634095
2026-07-31 02:38:53.238981,VIN-376374,3079,92,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 02:38:25.638071
2026-07-31 02:38:54.238981,VIN-362732,1904,89,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 02:38:25.643065
2026-07-31 02:38:55.238981,VIN-179618,1852,101,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 02:38:25.646625
2026-07-31 02:38:58.238981,VIN-161264,2816,102,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 02:38:25.652039
2026-07-31 02:39:02.238981,VIN-632452,1829,89,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 02:38:25.655231
2026-07-31 02:39:03.238981,VIN-041876,1950,102,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 02:38:25.668214
2026-07-31 02:39:04.238981,VIN-078199,1803,97,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 02:38:25.675298
2026-07-31 02:39:06.238981,VIN-335611,2961,98,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 02:38:25.678602
2026-07-31 02:39:11.238981,VIN-874111,1697,85,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 02:38:25.681577
2026-07-31 02:39:12.238981,VIN-476436,2662,104,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 02:38:25.688889
2026-07-31 02:39:13.238981,VIN-281575,2744,100,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 02:38:25.691517
2026-07-31 02:39:18.238981,VIN-908909,0,91,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 02:38:25.695928
2026-07-31 02:39:19.238981,VIN-822136,3342,91,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 02:38:25.701094
2026-07-31 02:39:25.238981,VIN-900036,1832,89,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 02:38:25.706052
2026-07-31 02:39:30.238981,VIN-602672,1972,85,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 02:38:25.709742
2026-07-31 02:39:35.238981,VIN-592801,0,93,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 02:38:25.712842
2026-07-31 02:39:36.238981,VIN-128173,3011,86,P0420,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 02:38:25.718897
