timestamp,vehicle_id,engine_rpm,coolant_temp_c,fault_code,alert_status,processed_at
2026-07-31 12:31:57.829327,VIN-100050,2100,90,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 12:31:57.848863
2026-07-31 12:31:57.829408,VIN-100075,2100,90,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 12:31:57.848932
2026-07-31 12:31:57.829490,VIN-100100,2100,90,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 12:31:57.849005
2026-07-31 12:31:57.829660,VIN-100150,2100,90,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 12:31:57.849080
2026-07-31 12:31:57.829837,VIN-100200,2100,90,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 12:31:57.849146
2026-07-31 12:31:57.829930,VIN-100225,2100,90,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 12:31:57.849204
2026-07-31 12:31:57.830021,VIN-100250,2100,90,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 12:31:57.849242
2026-07-31 12:31:57.830259,VIN-100300,2100,90,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 12:31:57.849306
2026-07-31 12:31:57.830487,VIN-100350,2100,90,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 12:31:57.849370
2026-07-31 12:31:57.830633,VIN-100375,2100,90,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 12:31:57.849404
2026-07-31 12:31:57.830738,VIN-100400,2100,90,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 12:31:57.849437
2026-07-31 12:31:57.830946,VIN-100450,2100,90,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 12:31:57.849501
2026-07-31 12:31:57.831162,VIN-100500,2100,90,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 12:31:57.849565
2026-07-31 12:31:57.831287,VIN-100525,2100,90,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 12:31:57.849598
2026-07-31 12:31:57.831416,VIN-100550,2100,90,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 12:31:57.849631
2026-07-31 12:31:57.831698,VIN-100600,2100,90,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 12:31:57.849693
2026-07-31 12:31:57.831978,VIN-100650,2100,90,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 12:31:57.849756
2026-07-31 12:31:57.832152,VIN-100675,2100,90,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 12:31:57.849789
2026-07-31 12:31:57.832301,VIN-100700,2100,90,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 12:31:57.849822
2026-07-31 12:31:57.832630,VIN-100750,2100,90,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 12:31:57.849884
2026-07-31 12:31:57.832937,VIN-100800,2100,90,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 12:31:57.849954
2026-07-31 12:31:57.833093,VIN-100825,2100,90,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 12:31:57.849991
2026-07-31 12:31:57.833251,VIN-100850,2100,90,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 12:31:57.850024
2026-07-31 12:31:57.833662,VIN-100900,2100,90,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 12:31:57.850087
2026-07-31 12:31:57.834031,VIN-100950,2100,90,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 12:31:57.850152
2026-07-31 12:31:57.834198,VIN-100975,2100,90,P0171,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 12:31:57.850187
2026-07-31 12:31:57.834403,VIN-101000,2100,90,P0300,⚠️ CRITICAL DEVIATION DETECTED,2026-07-31 12:31:57.850219
